Created At: 2026-07-26T06:50:32Z
Completed At: 2026-07-26T06:50:32Z
File Path: `file:///c:/Users/tomas/.gemini/antigravity/playground/polar-omega/Siroi_Tracker-main/src/pages/DashboardPage.tsx`
Total Lines: 1427
Total Bytes: 89501
Showing lines 600 to 800
The following code has been modified to include a line number before every line, in the format: <line_number>: <original_line>. Please note that any changes targeting the original code should remove the line number, colon, and leading space.
600:     <>
653:                 <span className="text-[10px] uppercase text-slate-600 dark:text-slate-400 font-semibold mb-0.5">Projected Total Business Today</span>
654:                 <span className="text-lg font-mono tracking-tight text-slate-900 dark:text-white">₹{projectedTotalBusinessToday.toLocaleString('en-IN')}</span>
655:                 <span className="text-[9px] text-slate-500 mt-0.5 font-mono">{selectedDate.split('-').reverse().join('-')}</span>
656:             </div>
657:             <div className="flex flex-col items-start md:items-end">
658:                 <span className="text-[10px] uppercase text-slate-400 font-semibold mb-0.5">Total Achievement Today</span>
659:                 <span className="text-lg font-mono text-emerald-400 tracking-tight">₹{Object.values(kpiMetrics).reduce((sum, m) => sum + m.ftd, 0).toLocaleString('en-IN')}</span>
660:                 <span className="text-[9px] text-slate-500 mt-0.5 font-mono">{selectedDate.split('-').reverse().join('-')}</span>
661:             </div>
662:         </div>
663:       </header>
664: 
665:       {/* KPI Category Selector */}
666:       <div className="flex gap-2 mb-4 overflow-x-auto pb-1 hide-scrollbar">
667:          {['All Products', ...PRODUCTS_LIST].map(cat => (
668:             <button
669:                key={cat}
670:                onClick={() => setKpiCategory(cat)}
671:                className={`px-4 py-1.5 rounded-full text-[11px] font-bold uppercase tracking-widest whitespace-nowrap transition-colors border ${
672:                   kpiCategory === cat 
673:                   ? 'bg-indigo-600 text-white border-indigo-600 shadow-md' 
674:                   : 'bg-white dark:bg-black/40 text-slate-600 dark:text-slate-400 border-slate-200 dark:border-white/10 hover:border-indigo-500/50'
675:                }`}
676:             >
677:                {cat}
678:             </button>
679:          ))}
680:       </div>
681: 
682:       {/* KPI Timeline Metrics */}
683:       <div className="grid grid-cols-2 md:grid-cols-4 gap-4 mb-6">
684:         <Card className="hover:dark:bg-white/5 bg-slate-900/5 transition-colors border-slate-900/10 dark:border-white/10">
685:           <CardHeader className="flex flex-row items-center justify-between space-y-0 pb-2 border-b-0">
686:             <CardTitle className="text-[10px] font-bold uppercase tracking-widest text-sky-600 dark:text-sky-400">FTD {kpiCategory}</CardTitle>
687:           </CardHeader>
688:           <CardContent>
689:             <div className="text-2xl font-mono font-bold text-slate-900 dark:text-white">₹{(kpiMetrics[kpiCategory]?.ftd || 0).toLocaleString('en-IN')}</div>
690:             <p className="text-[10px] text-slate-500 mt-1 uppercase tracking-wider font-semibold bg-sky-500/10 inline-block px-2 py-0.5 rounded text-sky-700 dark:text-sky-300">{kpiMetrics[kpiCategory]?.ftdCount || 0} {kpiCategory === 'All Products' ? 'Entries' : kpiCategory.includes('Insurance') ? 'Policies' : kpiCategory.includes('Loan') ? 'Cases' : kpiCategory.includes('Mutual') ? 'Accounts' : kpiCategory.includes('Forex') ? 'Txns' : 'Entries'}</p>
691:           </CardContent>
692:         </Card>
693:         <Card className="hover:bg-slate-900/5 dark:hover:bg-white/5 transition-colors border-slate-900/10 dark:border-white/10">
694:           <CardHeader className="flex flex-row items-center justify-between space-y-0 pb-2 border-b-0">
695:             <CardTitle className="text-[10px] font-bold uppercase tracking-widest text-indigo-600 dark:text-indigo-400">MTD {kpiCategory}</CardTitle>
696:           </CardHeader>
697:           <CardContent>
698:             <div className="text-2xl font-mono font-bold text-slate-900 dark:text-white">₹{(kpiMetrics[kpiCategory]?.mtd || 0).toLocaleString('en-IN')}</div>
699:             <p className="text-[10px] text-slate-500 mt-1 uppercase tracking-wider font-semibold bg-indigo-500/10 inline-block px-2 py-0.5 rounded text-indigo-700 dark:text-indigo-300">{kpiMetrics[kpiCategory]?.mtdCount || 0} {kpiCategory === 'All Products' ? 'Entries' : kpiCategory.includes('Insurance') ? 'Policies' : kpiCategory.includes('Loan') ? 'Cases' : kpiCategory.includes('Mutual') ? 'Accounts' : kpiCategory.includes('Forex') ? 'Txns' : 'Entries'}</p>
700:           </CardContent>
701:         </Card>
702:         <Card className="hover:bg-slate-900/5 dark:hover:bg-white/5 transition-colors border-slate-900/10 dark:border-white/10">
703:           <CardHeader className="flex flex-row items-center justify-between space-y-0 pb-2 border-b-0">
704:             <CardTitle className="text-[10px] font-bold uppercase tracking-widest text-emerald-600 dark:text-emerald-400">YTD {kpiCategory}</CardTitle>
705:           </CardHeader>
706:           <CardContent>
707:             <div className="text-2xl font-mono font-bold text-slate-900 dark:text-white">₹{(kpiMetrics[kpiCategory]?.ytd || 0).toLocaleString('en-IN')}</div>
708:             <p className="text-[10px] text-slate-500 mt-1 uppercase tracking-wider font-semibold bg-emerald-500/10 inline-block px-2 py-0.5 rounded text-emerald-700 dark:text-emerald-300">{kpiMetrics[kpiCategory]?.ytdCount || 0} {kpiCategory === 'All Products' ? 'Entries' : kpiCategory.includes('Insurance') ? 'Policies' : kpiCategory.includes('Loan') ? 'Cases' : kpiCategory.includes('Mutual') ? 'Accounts' : kpiCategory.includes('Forex') ? 'Txns' : 'Entries'}</p>
709:           </CardContent>
710:         </Card>
711:         <Card className="hover:bg-slate-900/5 dark:hover:bg-white/5 transition-colors border-slate-900/10 dark:border-white/10">
712:           <CardHeader className="flex flex-row items-center justify-between space-y-0 pb-2 border-b-0">
713:             <CardTitle className="text-[10px] font-bold uppercase tracking-widest text-amber-600 dark:text-amber-400">Daily Proj.</CardTitle>
714:           </CardHeader>
715:           <CardContent>
716:             <div className="text-2xl font-mono font-bold text-slate-900 dark:text-white">
717:                 ₹{filteredBranches.reduce((acc, b) => acc + b.dailyProjection, 0).toLocaleString('en-IN')}
718:             </div>
719:             <p className="text-[10px] text-slate-500 mt-1 uppercase tracking-wider">All branches</p>
720:           </CardContent>
721:         </Card>
722:       </div>
723: 
724:       <div className="grid gap-6 lg:grid-cols-7 mb-6">
725:         {/* Branches Performance */}
726:         <Card className="lg:col-span-4 flex flex-col border-slate-900/10 dark:border-white/10 min-h-[450px]">
727:           <CardHeader className="flex justify-between items-center py-4 border-slate-900/10 dark:border-white/10 uppercase">
728:             <span className="text-[10px] font-bold tracking-widest text-slate-700 dark:text-slate-300">Branch Performance ({viewMode === 'daily' ? 'Daily' : viewMode === 'month' ? 'Monthly' : 'Yearly'})</span>
729:           </CardHeader>
730:           <CardContent className="flex-1 p-4 pb-0">
731:             <ResponsiveContainer width="100%" height="100%">
732:               <BarChart data={filteredBranches} margin={{ top: 20, right: 10, left: 0, bottom: 0 }} barGap={4} barCategoryGap="25%">
733:                 <defs>
734:                    {PRODUCTS_LIST.map(p => (
735:                        <pattern key={`pattern_${p}`} id={getPatternId(p)} patternUnits="userSpaceOnUse" width="6" height="6" patternTransform="rotate(45)">
736:                            <line x1="0" y="0" x2="0" y2="6" stroke={PRODUCT_COLORS[p].ach} strokeWidth="3" />
737:                        </pattern>
738:                    ))}
739:                 </defs>
740:                 <CartesianGrid strokeDasharray="3 3" vertical={false} stroke="rgba(150,150,150,0.1)" />
741:                 <XAxis dataKey="name" tick={<CustomizedAxisTick />} axisLine={false} tickLine={false} />
742:                 <YAxis 
743:                     domain={[0, Math.ceil(maxYValue * 1.1)]} 
744:                     tick={{fill: '#94a3b8', fontSize: 11}} 
745:                     axisLine={false} 
746:                     tickLine={false} 
747:                     tickFormatter={formatYAxis} 
748:                     width={60}
749:                 />
750:                 <RechartsTooltip 
751:                     cursor={{fill: 'rgba(150,150,150,0.1)'}}
752:                     content={<CustomBarTooltip />}
753:                 />
754:                 
755:                 {/* Custom Legend */}
756:                 <Legend content={renderCustomLegend} verticalAlign="bottom" wrapperStyle={{ paddingTop: '20px' }} />
757: 
758:                 {/* Projection Stacks */}
759:                 {activeCategories.map(c => (
760:                    <Bar key={`proj_${c}`} dataKey={`proj_${c}`} stackId="proj" name={`Proj. ${c}`} fill={PRODUCT_COLORS[c].proj} stroke={PRODUCT_COLORS[c].ach} strokeWidth={1} maxBarSize={50} />
761:                 ))}
762: 
763:                 {/* Achievement Stacks */}
764:                 {activeCategories.map(c => (
765:                    <Bar key={`ach_${c}`} dataKey={`ach_${c}`} stackId="ach" name={`Ach. ${c}`} fill={PRODUCT_COLORS[c].ach} maxBarSize={50} />
766:                 ))}
767:               </BarChart>
768:             </ResponsiveContainer>
769:           </CardContent>
770:         </Card>
771: 
772:         {/* Right Column: Mix */}
773:         <div className="lg:col-span-3 flex flex-col gap-6">
774:             {/* Business Mix */}
775:             <Card className="flex flex-col border-slate-900/10 dark:border-white/10 flex-1 min-h-[300px]">
776:               <CardHeader className="py-4 border-b border-slate-900/10 dark:border-white/10 shrink-0 flex flex-row items-center justify-between">
777:                 <span className="text-[10px] font-bold tracking-widest text-slate-700 dark:text-slate-300 uppercase">Business Mix</span>
778:                 <div className="flex items-center gap-3">
779:                     <BranchSelect 
780:                         value={selectedBusinessBranch}
781:                         onChange={setSelectedBusinessBranch}
782:                         branches={branches}
783:                         includeAllOption={true}
784:                         allOptionText="All Branches"
785:                         className="w-[140px]"
786:                     />
787:                 </div>
788:               </CardHeader>
789:               <CardContent className="flex-1 flex justify-center items-center p-4">
790:                 <ResponsiveContainer width="100%" height="100%">
791:                   <PieChart>
792:                     <Pie
793:                       data={businessByCategory}
794:                       cx="50%"
795:                       cy="50%"
796:                       innerRadius={90}
797:                       outerRadius={140}
798:                       paddingAngle={5}
799:                       dataKey="value"
800:                       stroke="none"
The above content does NOT show the entire file contents. If you need to view any lines of the file which were not shown to complete your task, call this tool again to view those lines.
